Date,Course,Venue,Attendees
22/09/2019,Excel Level 1,Warwick Street,4
20/11/2019,Excel Level 2,Dover Court,4
11/10/2019,Excel Level 3,Dover Court,4
26/06/2019,Excel Formulas and Functions,Warwick Street,6
23/11/2019,Power BI Introduction,Dover Court,5
20/11/2019,Excel Level 1,Dover Court,12
22/11/2019,Power BI Introduction,Warwick Street,5
19/09/2019,Mastering DAX,Surrey House,6
25/04/2019,Excel PivotTables,Hampton,6
28/12/2019,Excel Dashboards,Dover Court,12
07/08/2019,Excel Level 1,Dover Court,6
12/12/2019,Excel Dashboards,Warwick Street,4
01/12/2019,Excel VBA,Dover Court,6
25/06/2019,Power Query & Power Pivot,Dover Court,6
15/06/2019,Excel Level 1,Warwick Street,5
10/01/2019,Power BI Introduction,Dover Court,5
30/01/2019,Excel VBA,Warwick Street,5
31/01/2019,Power Query,Hampton,5
20/01/2019,Excel Formulas and Functions,Warwick Street,6
22/06/2019,Excel Level 1,Warwick Street,6
04/12/2019,Excel Dashboards,Warwick Street,5
10/09/2019,Excel Best Practise & Tips,Surrey House,3
14/07/2019,Excel Level 1,Surrey House,8
29/07/2019,Power BI Introduction,Dover Court,6
28/01/2019,Excel Level 3,Warwick Street,3
21/02/2019,Excel Level 1,Surrey House,11
22/03/2019,Excel Level 2,Hampton,11
13/12/2019,Excel Level 3,Warwick Street,4
10/12/2019,Excel Level 3,Warwick Street,6
14/06/2019,Excel Formulas and Functions,Surrey House,5
23/02/2019,Excel Formulas and Functions,Warwick Street,6
21/12/2019,Excel Level 3,Hampton,6
10/04/2019,Excel Best Practise & Tips,Dover Court,6
07/05/2019,Excel Level 1,Surrey House,1
02/12/2019,Power BI Introduction,Warwick Street,6
06/12/2019,Power Query,Dover Court,6
07/03/2019,Mastering DAX,Hampton,6
14/03/2019,Power BI Introduction,Surrey House,5
08/07/2019,Excel Level 3,Warwick Street,5
14/08/2019,Excel Best Practise & Tips,Surrey House,4
20/04/2019,Excel VBA,Hampton,3
28/11/2019,Excel Level 3,Hampton,6
29/03/2019,Power Query,Warwick Street,5
28/04/2019,Excel Level 2,Surrey House,11
11/10/2019,Excel PivotTables,Dover Court,4
02/12/2019,Excel Formulas and Functions,Surrey House,12
10/10/2019,Excel Level 3,Dover Court,6
18/02/2019,Excel VBA,Warwick Street,5
14/04/2019,Excel Dashboards,Warwick Street,4
09/01/2019,Excel Formulas and Functions,Dover Court,6
20/12/2019,Excel Dashboards,Warwick Street,6
03/12/2019,Excel Level 3,Warwick Street,12
27/10/2019,Excel Level 2,Dover Court,3
03/02/2019,Power BI Introduction,Dover Court,4
19/06/2019,Power Query & Power Pivot,Warwick Street,6
27/12/2019,Power BI Introduction,Warwick Street,5
29/03/2019,Mastering DAX,Surrey House,12
30/01/2019,Excel Level 3,Hampton,5
08/10/2019,Power BI Introduction,Hampton,12
20/12/2019,Power BI Introduction,Warwick Street,6
13/02/2019,Excel Dashboards,Warwick Street,6
23/04/2019,Excel Dashboards,Warwick Street,5
21/06/2019,Excel Level 3,Warwick Street,5
16/02/2019,Excel PivotTables,Hampton,5
26/12/2019,Excel Best Practise & Tips,Hampton,6
19/04/2019,Excel Formulas and Functions,Surrey House,6
02/10/2019,Excel Level 1,Warwick Street,6
21/12/2019,Excel Level 3,Hampton,6
22/05/2019,Excel Dashboards,Warwick Street,12
17/12/2019,Excel Level 3,Warwick Street,5
25/05/2019,Power BI Introduction,Warwick Street,6
07/11/2019,Excel Level 1,Dover Court,6
04/12/2019,Power BI Introduction,Warwick Street,6
19/12/2019,Excel Dashboards,Hampton,6
02/11/2019,Power BI Introduction,Warwick Street,4
24/05/2019,Power BI Introduction,Surrey House,5
15/09/2019,Excel Level 1,Warwick Street,6
22/06/2019,Power BI Introduction,Warwick Street,5
14/06/2019,Power BI Introduction,Warwick Street,6
21/06/2019,Excel Level 1,Warwick Street,6
04/06/2019,Excel Formulas and Functions,Warwick Street,11
28/02/2019,Power BI Introduction,Warwick Street,4
09/01/2019,Excel Formulas and Functions,Warwick Street,12
15/12/2019,Excel Dashboards,Dover Court,6
08/12/2019,Excel Level 2,Hampton,5
04/10/2019,Excel Level 2,Dover Court,5
24/09/2019,Excel VBA,Hampton,5
