Date,Course,Venue,Attendees
18/08/2016,Excel Level 1,Warwick Street,3
21/07/2016,Excel Level 1,Dover Court,5
20/12/2016,Excel Level 2,Hampton,7
02/12/2016,Excel Level 3,Surrey House,3
12/12/2016,Excel Formulas and Functions,Warwick Street,9
13/05/2016,Power BI Introduction,Dover Court,5
14/03/2016,Mastering DAX,Hampton,7
06/01/2016,Excel PivotTables,Surrey House,7
28/10/2016,Mastering DAX,Surrey House,5
30/05/2016,Excel Dashboards,Surrey House,5
29/11/2016,Excel Level 1,Warwick Street,3
05/12/2016,Excel VBA,Surrey House,3
30/08/2016,Excel Level 2,Warwick Street,5
02/10/2016,Power Query & Power Pivot,Dover Court,3
08/05/2016,Excel Level 3,Hampton,10
05/10/2016,Power Query,Surrey House,10
16/07/2016,Excel Dashboards,Warwick Street,5
19/11/2016,Power Query & Power Pivot,Dover Court,5
22/09/2016,Excel Best Practise & Tips,Surrey House,5
07/12/2016,Excel Level 1,Hampton,3
15/07/2016,Mastering DAX,Surrey House,7
20/12/2016,Excel Level 1,Warwick Street,3
15/10/2016,Power BI Introduction,Dover Court,4
16/02/2016,Power Query & Power Pivot,Hampton,5
06/12/2016,Excel Level 2,Warwick Street,3
17/12/2016,Excel Level 1,Surrey House,7
01/12/2016,Excel Formulas and Functions,Warwick Street,7
04/06/2016,Power Query & Power Pivot,Warwick Street,5
05/07/2016,Excel Level 2,Surrey House,2
14/09/2016,Excel Level 1,Dover Court,3
12/08/2016,Excel Dashboards,Dover Court,3
03/11/2016,Excel Best Practise & Tips,Surrey House,5
22/07/2016,Excel Level 2,Hampton,3
23/07/2016,Excel Level 2,Surrey House,5
08/11/2016,Excel Level 2,Warwick Street,5
04/05/2016,Power Query & Power Pivot,Dover Court,3
12/02/2016,Excel Formulas and Functions,Dover Court,5
27/04/2016,Excel Level 3,Hampton,3
22/12/2016,Excel PivotTables,Surrey House,3
24/11/2016,Excel Level 1,Surrey House,7
24/08/2016,Excel Level 1,Dover Court,5
06/12/2016,Power BI Introduction,Hampton,6
18/10/2016,Excel Level 2,Surrey House,7
13/06/2016,Excel Level 2,Surrey House,3
23/11/2016,Excel Formulas and Functions,Warwick Street,3
25/07/2016,Excel Formulas and Functions,Dover Court,3
23/07/2016,Excel VBA,Hampton,3
27/11/2016,Power BI Introduction,Surrey House,5
07/05/2016,Mastering DAX,Dover Court,8
04/01/2016,Excel Dashboards,Warwick Street,3
08/05/2016,Power BI Introduction,Warwick Street,3
02/12/2016,Excel Level 2,Surrey House,3
29/07/2016,Excel Level 2,Dover Court,5
13/02/2016,Power Query,Warwick Street,2
11/03/2016,Excel Dashboards,Warwick Street,7
28/12/2016,Excel Level 3,Warwick Street,3
03/12/2016,Power BI Introduction,Warwick Street,3
24/12/2016,Excel Level 2,Dover Court,5
21/12/2016,Excel Level 1,Warwick Street,5
19/12/2016,Excel Level 2,Surrey House,5
18/10/2016,Excel Level 1,Hampton,3
25/09/2016,Excel Dashboards,Surrey House,3
05/12/2016,Excel Dashboards,Surrey House,2
23/03/2016,Excel Level 2,Warwick Street,2
23/03/2016,Excel Level 2,Dover Court,3
01/09/2016,Mastering DAX,Surrey House,9
31/12/2016,Excel VBA,Warwick Street,3
16/08/2016,Excel Best Practise & Tips,Dover Court,2
07/11/2016,Excel Level 1,Hampton,5
12/03/2016,Excel Level 1,Hampton,5
08/12/2016,Excel PivotTables,Warwick Street,7
26/09/2016,Excel PivotTables,Surrey House,3
12/02/2016,Excel Dashboards,Warwick Street,2
04/01/2016,Excel Dashboards,Surrey House,10
24/11/2016,Excel PivotTables,Warwick Street,7
10/07/2016,Mastering DAX,Hampton,3
10/12/2016,Mastering DAX,Surrey House,3
25/11/2016,Excel VBA,Dover Court,3
23/11/2016,Excel Level 1,Hampton,3
28/11/2016,Mastering DAX,Hampton,3
12/09/2016,Excel Formulas and Functions,Dover Court,6
02/03/2016,Excel Level 2,Surrey House,3
08/04/2016,Excel Level 2,Warwick Street,7
02/12/2016,Excel PivotTables,Dover Court,7
08/12/2016,Excel Dashboards,Warwick Street,5
01/11/2016,Excel PivotTables,Warwick Street,3
16/12/2016,Excel Level 1,Surrey House,5
19/04/2016,Excel Level 2,Warwick Street,5
25/11/2016,Excel Dashboards,Dover Court,2
02/12/2016,Excel Level 1,Hampton,2
06/06/2016,Excel Dashboards,Hampton,3
21/12/2016,Excel Dashboards,Warwick Street,1
27/07/2016,Excel Dashboards,Dover Court,5
02/12/2016,Excel Level 2,Surrey House,2
02/09/2016,Excel VBA,Surrey House,5
14/11/2016,Excel Level 1,Warwick Street,3
19/12/2016,Excel Level 1,Hampton,2
29/09/2016,Mastering DAX,Dover Court,3
16/11/2016,Excel Level 1,Surrey House,3
11/12/2016,Excel VBA,Hampton,2
05/02/2016,Excel Level 1,Warwick Street,3
22/12/2016,Excel Dashboards,Surrey House,7
13/11/2016,Excel Level 1,Dover Court,5
06/12/2016,Mastering DAX,Warwick Street,4
30/07/2016,Excel Dashboards,Warwick Street,5
21/09/2016,Power BI Introduction,Warwick Street,7
09/04/2016,Mastering DAX,Surrey House,5
22/03/2016,Excel PivotTables,Warwick Street,7
28/07/2016,Power BI Introduction,Surrey House,3
18/12/2016,Excel VBA,Dover Court,1
07/12/2016,Power BI Introduction,Surrey House,3
27/11/2016,Excel VBA,Warwick Street,3
22/11/2016,Excel Level 2,Surrey House,5
16/12/2016,Excel Dashboards,Dover Court,7
01/04/2016,Excel Level 1,Dover Court,3
08/12/2016,Power Query,Dover Court,6
08/11/2016,Excel Level 2,Dover Court,10
11/10/2016,Excel PivotTables,Surrey House,5
27/06/2016,Power BI Introduction,Warwick Street,7
02/05/2016,Excel Level 1,Surrey House,3
20/02/2016,Excel PivotTables,Hampton,3
03/12/2016,Power BI Introduction,Hampton,2
04/02/2016,Power Query & Power Pivot,Warwick Street,3
25/11/2016,Excel PivotTables,Warwick Street,7
09/04/2016,Excel Formulas and Functions,Hampton,8
08/08/2016,Excel PivotTables,Hampton,7
12/12/2016,Excel PivotTables,Hampton,2
08/11/2016,Excel Level 2,Hampton,7
22/11/2016,Excel Level 2,Surrey House,3
20/04/2016,Excel VBA,Surrey House,5
16/12/2016,Excel Level 1,Hampton,3
05/11/2016,Excel Dashboards,Hampton,7
21/08/2016,Excel Level 1,Warwick Street,5
25/11/2016,Mastering DAX,Surrey House,5
22/08/2016,Power BI Introduction,Warwick Street,5
06/04/2016,Power BI Introduction,Hampton,5
17/12/2016,Excel Level 1,Dover Court,5
14/12/2016,Excel Level 1,Surrey House,10
27/10/2016,Excel Level 1,Surrey House,3
09/07/2016,Excel Level 1,Warwick Street,5
19/02/2016,Excel Level 2,Warwick Street,3
29/10/2016,Excel Dashboards,Surrey House,5
30/12/2016,Mastering DAX,Hampton,5
11/10/2016,Excel VBA,Surrey House,3
22/02/2016,Excel Level 1,Hampton,3
15/03/2016,Excel Level 1,Surrey House,5
05/04/2016,Excel Dashboards,Hampton,3
13/12/2016,Excel Level 1,Warwick Street,2
22/11/2016,Excel Level 2,Warwick Street,3
23/03/2016,Excel PivotTables,Dover Court,2
27/09/2016,Excel Level 2,Surrey House,2
04/09/2016,Excel Level 1,Dover Court,7
20/09/2016,Excel Level 2,Surrey House,5
28/01/2016,Excel Level 2,Dover Court,5
02/12/2016,Excel Dashboards,Surrey House,7
03/09/2016,Excel Best Practise & Tips,Surrey House,5
06/12/2016,Excel VBA,Warwick Street,3
30/11/2016,Power BI Introduction,Surrey House,3
26/03/2016,Excel Dashboards,Warwick Street,3
11/12/2016,Power BI Introduction,Surrey House,3
21/09/2016,Power BI Introduction,Warwick Street,3
15/12/2016,Excel Dashboards,Hampton,3
15/03/2016,Power BI Introduction,Surrey House,3
27/11/2016,Mastering DAX,Surrey House,7
20/12/2016,Power BI Introduction,Hampton,10
12/10/2016,Excel Level 2,Surrey House,9
22/01/2016,Excel Level 2,Surrey House,7
01/12/2016,Excel Dashboards,Surrey House,8
11/11/2016,Excel Dashboards,Warwick Street,5
21/12/2016,Excel Level 3,Surrey House,3
12/08/2016,Excel PivotTables,Warwick Street,5
07/03/2016,Excel Level 2,Dover Court,3
08/09/2016,Power BI Introduction,Warwick Street,5
19/03/2016,Excel Level 1,Dover Court,5
18/07/2016,Excel Level 3,Surrey House,5
26/11/2016,Excel PivotTables,Dover Court,3
13/07/2016,Excel Level 1,Warwick Street,3
13/10/2016,Excel Dashboards,Hampton,5
27/10/2016,Excel Level 1,Hampton,3
21/09/2016,Excel Level 1,Dover Court,3
23/01/2016,Excel Level 1,Surrey House,7
26/11/2016,Excel Level 1,Surrey House,2
25/12/2016,Excel Level 1,Surrey House,5
16/12/2016,Mastering DAX,Dover Court,3
30/11/2016,Excel Level 1,Surrey House,3
16/12/2016,Excel Dashboards,Dover Court,3
25/11/2016,Excel Level 3,Dover Court,5
15/12/2016,Excel PivotTables,Surrey House,7
04/12/2016,Excel Dashboards,Warwick Street,5
08/02/2016,Excel Dashboards,Warwick Street,5
16/06/2016,Excel Dashboards,Surrey House,2
16/05/2016,Excel Level 1,Hampton,3
01/01/2016,Excel Level 1,Hampton,3
19/06/2016,Excel VBA,Dover Court,3
20/07/2016,Power BI Introduction,Surrey House,5
05/06/2016,Excel Level 1,Surrey House,3
27/11/2016,Excel VBA,Hampton,5
17/12/2016,Power BI Introduction,Surrey House,5
13/02/2016,Excel PivotTables,Surrey House,7
16/11/2016,Excel Dashboards,Warwick Street,7
13/03/2016,Excel Level 1,Dover Court,5
08/08/2016,Excel Level 1,Warwick Street,5
27/07/2016,Power Query & Power Pivot,Surrey House,3
28/11/2016,Excel VBA,Dover Court,5
27/11/2016,Excel Level 2,Warwick Street,5
05/07/2016,Excel Level 1,Dover Court,5
20/12/2016,Power BI Introduction,Warwick Street,7
13/09/2016,Excel Level 2,Surrey House,5
25/11/2016,Excel Level 2,Warwick Street,3
30/07/2016,Excel Level 2,Hampton,3
25/09/2016,Excel Level 1,Warwick Street,3
19/02/2016,Excel Dashboards,Warwick Street,7
19/12/2016,Power BI Introduction,Warwick Street,5
13/12/2016,Power BI Introduction,Hampton,5
23/11/2016,Excel Level 1,Dover Court,3
02/09/2016,Power Query & Power Pivot,Warwick Street,3
09/12/2016,Excel Level 1,Surrey House,7
30/06/2016,Excel Dashboards,Hampton,7
06/10/2016,Excel Level 1,Hampton,7
07/06/2016,Excel Level 1,Warwick Street,5
12/05/2016,Excel PivotTables,Dover Court,7
25/11/2016,Excel Level 2,Hampton,5
25/08/2016,Excel Level 2,Hampton,3
18/01/2016,Power Query & Power Pivot,Hampton,1
12/12/2016,Excel Level 2,Surrey House,5
10/12/2016,Excel VBA,Surrey House,3
04/01/2016,Mastering DAX,Dover Court,3
15/02/2016,Excel Level 2,Warwick Street,5
26/01/2016,Excel Level 2,Dover Court,10
23/10/2016,Excel PivotTables,Dover Court,3
10/03/2016,Excel Level 2,Surrey House,2
24/11/2016,Excel VBA,Hampton,7
16/03/2016,Excel PivotTables,Hampton,5
03/06/2016,Excel PivotTables,Hampton,2
01/12/2016,Excel Dashboards,Warwick Street,3
14/11/2016,Excel PivotTables,Warwick Street,3
18/02/2016,Excel Level 2,Surrey House,3
17/05/2016,Excel VBA,Warwick Street,5
20/09/2016,Excel Formulas and Functions,Surrey House,3
15/12/2016,Excel VBA,Surrey House,7
14/12/2016,Excel Level 1,Surrey House,7
18/12/2016,Excel Dashboards,Warwick Street,3
01/12/2016,Power Query & Power Pivot,Dover Court,5
03/12/2016,Excel Level 1,Dover Court,5
11/02/2016,Excel PivotTables,Surrey House,3
08/05/2016,Excel PivotTables,Warwick Street,7
04/05/2016,Power BI Introduction,Surrey House,7
04/12/2016,Excel Dashboards,Dover Court,8
02/08/2016,Excel Level 2,Surrey House,5
26/11/2016,Power BI Introduction,Warwick Street,5
10/12/2016,Excel Dashboards,Warwick Street,5
26/03/2016,Excel Level 1,Surrey House,8
10/05/2016,Excel Formulas and Functions,Warwick Street,7
01/12/2016,Excel Level 1,Surrey House,3
05/12/2016,Power BI Introduction,Hampton,7
03/01/2016,Mastering DAX,Dover Court,5
17/12/2016,Excel Level 1,Surrey House,3
01/06/2016,Excel PivotTables,Warwick Street,3
28/11/2016,Power Query & Power Pivot,Dover Court,3
19/01/2016,Excel Dashboards,Surrey House,2
19/07/2016,Excel Level 1,Surrey House,5
30/04/2016,Excel PivotTables,Dover Court,3
21/04/2016,Power BI Introduction,Warwick Street,3
05/12/2016,Excel VBA,Dover Court,3
23/12/2016,Mastering DAX,Warwick Street,5
23/03/2016,Power Query & Power Pivot,Hampton,5
14/10/2016,Excel PivotTables,Dover Court,5
24/06/2016,Excel Dashboards,Hampton,2
13/01/2016,Excel PivotTables,Warwick Street,5
04/12/2016,Excel PivotTables,Warwick Street,6
26/12/2016,Excel Level 2,Dover Court,5
16/08/2016,Excel PivotTables,Surrey House,5
09/04/2016,Excel Level 3,Surrey House,7
12/12/2016,Power BI Introduction,Surrey House,5
18/12/2016,Excel Level 1,Hampton,5
17/03/2016,Power Query & Power Pivot,Dover Court,7
15/01/2016,Excel Level 1,Surrey House,3
20/12/2016,Excel Dashboards,Warwick Street,3
22/10/2016,Excel Level 1,Hampton,7
26/11/2016,Power Query & Power Pivot,Dover Court,3
10/06/2016,Excel Level 2,Surrey House,1
29/03/2016,Excel Level 1,Warwick Street,3
27/11/2016,Excel Level 2,Dover Court,3
23/07/2016,Excel Best Practise & Tips,Surrey House,7
22/06/2016,Excel PivotTables,Warwick Street,3
31/05/2016,Power BI Introduction,Surrey House,3
25/10/2016,Power BI Introduction,Warwick Street,5
04/04/2016,Excel Level 1,Warwick Street,7
14/05/2016,Excel PivotTables,Warwick Street,10
20/12/2016,Excel Level 1,Hampton,5
19/03/2016,Excel Level 1,Warwick Street,5
27/06/2016,Excel Dashboards,Surrey House,5
13/06/2016,Excel Level 2,Warwick Street,3
03/06/2016,Excel VBA,Surrey House,5
25/02/2016,Excel PivotTables,Dover Court,8
22/11/2016,Power Query & Power Pivot,Dover Court,3
23/01/2016,Excel Level 1,Surrey House,7
14/08/2016,Excel Dashboards,Surrey House,5
20/07/2016,Excel Dashboards,Surrey House,3
12/02/2016,Excel Dashboards,Hampton,3
14/12/2016,Power BI Introduction,Hampton,2
23/11/2016,Power BI Introduction,Warwick Street,5
05/09/2016,Mastering DAX,Dover Court,7
15/07/2016,Excel Level 1,Warwick Street,3
27/08/2016,Power BI Introduction,Surrey House,7
23/05/2016,Excel Level 1,Surrey House,5
20/01/2016,Excel Level 1,Warwick Street,10
10/07/2016,Excel Level 1,Warwick Street,3
27/02/2016,Excel VBA,Dover Court,5
07/08/2016,Power BI Introduction,Surrey House,3
25/11/2016,Power BI Introduction,Surrey House,3
15/12/2016,Excel Level 1,Surrey House,5
01/04/2016,Mastering DAX,Warwick Street,2
21/12/2016,Excel Level 1,Surrey House,2
04/04/2016,Excel Dashboards,Dover Court,5
08/12/2016,Power BI Introduction,Warwick Street,3
27/11/2016,Power Query,Warwick Street,5
25/12/2016,Excel VBA,Dover Court,5
16/05/2016,Excel PivotTables,Surrey House,5
03/12/2016,Excel Level 1,Hampton,3
15/05/2016,Excel Level 1,Warwick Street,3
11/08/2016,Excel VBA,Dover Court,3
09/01/2016,Excel Best Practise & Tips,Surrey House,3
14/01/2016,Excel Level 1,Surrey House,3
23/03/2016,Power BI Introduction,Hampton,3
02/11/2016,Power BI Introduction,Dover Court,3
21/12/2016,Power BI Introduction,Surrey House,3
19/12/2016,Power BI Introduction,Surrey House,3
03/04/2016,Excel Level 1,Surrey House,7
14/08/2016,Mastering DAX,Surrey House,3
10/05/2016,Excel Level 1,Hampton,5
07/10/2016,Excel Dashboards,Surrey House,5
30/11/2016,Excel PivotTables,Warwick Street,5
30/11/2016,Excel Dashboards,Hampton,5
03/07/2016,Excel Level 1,Hampton,3
30/04/2016,Excel PivotTables,Dover Court,5
29/04/2016,Excel Best Practise & Tips,Hampton,5
20/12/2016,Excel Dashboards,Dover Court,2
30/11/2016,Excel Level 2,Hampton,5
08/02/2016,Power BI Introduction,Surrey House,5
