Date,Course,Venue,Attendees
09/03/2018,Excel Level 1,Warwick Street,5
24/01/2018,Excel Level 2,Dover Court,2
22/02/2018,Excel Level 3,Hampton,3
06/06/2018,Excel Formulas and Functions,Surrey House,3
06/06/2018,Excel Formulas and Functions,Warwick Street,7
09/05/2018,Excel Level 3,Dover Court,3
07/04/2018,Power BI Introduction,Dover Court,5
16/12/2018,Power BI Introduction,Hampton,5
19/08/2018,Excel Level 3,Surrey House,3
28/02/2018,Excel Formulas and Functions,Warwick Street,5
03/11/2018,Mastering DAX,Hampton,3
28/07/2018,Excel Level 3,Dover Court,5
25/11/2018,Excel PivotTables,Hampton,5
23/02/2018,Excel Level 3,Warwick Street,9
27/07/2018,Excel Dashboards,Warwick Street,5
08/12/2018,Excel VBA,Surrey House,5
12/04/2018,Power Query & Power Pivot,Warwick Street,5
10/10/2018,Mastering DAX,Warwick Street,7
28/09/2018,Excel Level 3,Hampton,3
25/09/2018,Power Query,Warwick Street,3
24/12/2018,Excel Dashboards,Dover Court,5
28/02/2018,Mastering DAX,Hampton,2
23/09/2018,Excel Best Practise & Tips,Surrey House,3
27/12/2018,Excel Formulas and Functions,Dover Court,5
17/12/2018,Excel Formulas and Functions,Warwick Street,10
24/12/2018,Excel Dashboards,Dover Court,3
15/11/2018,Excel PivotTables,Dover Court,3
30/03/2018,Power Query,Warwick Street,3
08/08/2018,Excel Level 1,Warwick Street,7
05/09/2018,Excel Formulas and Functions,Dover Court,5
19/02/2018,Power Query & Power Pivot,Hampton,3
11/12/2018,Excel Level 2,Surrey House,3
07/12/2018,Excel Level 1,Warwick Street,6
10/05/2018,Excel Level 1,Dover Court,5
24/02/2018,Excel Level 3,Hampton,5
02/10/2018,Power Query,Warwick Street,5
02/12/2018,Excel Dashboards,Warwick Street,5
26/03/2018,Excel Formulas and Functions,Surrey House,5
05/02/2018,Excel Formulas and Functions,Warwick Street,3
09/06/2018,Excel Level 3,Dover Court,7
06/12/2018,Excel Formulas and Functions,Dover Court,7
14/12/2018,Power BI Introduction,Hampton,5
23/11/2018,Mastering DAX,Warwick Street,2
12/12/2018,Excel Level 3,Warwick Street,9
25/03/2018,Excel Level 3,Warwick Street,3
23/11/2018,Excel Level 3,Hampton,3
02/11/2018,Excel Best Practise & Tips,Dover Court,9
10/06/2018,Excel Level 3,Warwick Street,3
19/08/2018,Excel Level 1,Hampton,10
23/07/2018,Excel Level 3,Surrey House,3
13/03/2018,Excel Level 1,Warwick Street,3
21/11/2018,Power BI Introduction,Warwick Street,7
07/05/2018,Excel Best Practise & Tips,Warwick Street,9
06/08/2018,Excel Level 3,Warwick Street,5
23/02/2018,Excel Level 2,Dover Court,5
15/11/2018,Excel Level 2,Warwick Street,5
01/12/2018,Excel Dashboards,Hampton,5
03/06/2018,Excel Level 1,Warwick Street,5
17/02/2018,Excel Level 1,Hampton,7
16/09/2018,Excel PivotTables,Warwick Street,5
19/12/2018,Power Query & Power Pivot,Warwick Street,5
03/09/2018,Mastering DAX,Warwick Street,5
30/11/2018,Excel Level 3,Warwick Street,3
04/06/2018,Mastering DAX,Warwick Street,5
30/11/2018,Excel Level 2,Warwick Street,3
04/10/2018,Excel Dashboards,Surrey House,3
08/12/2018,Mastering DAX,Warwick Street,7
25/09/2018,Excel Level 2,Dover Court,8
08/11/2018,Excel Formulas and Functions,Dover Court,3
01/12/2018,Power BI Introduction,Warwick Street,5
26/11/2018,Excel Level 3,Surrey House,3
25/07/2018,Excel Dashboards,Dover Court,3
30/12/2018,Excel Formulas and Functions,Warwick Street,5
15/12/2018,Excel Level 3,Dover Court,3
08/02/2018,Excel Level 1,Hampton,3
08/02/2018,Mastering DAX,Warwick Street,3
18/10/2018,Excel Level 3,Warwick Street,7
22/11/2018,Power BI Introduction,Surrey House,5
17/11/2018,Excel Formulas and Functions,Hampton,3
15/09/2018,Excel Best Practise & Tips,Warwick Street,3
14/04/2018,Excel Level 1,Surrey House,5
